ranking_id,edition_year,edition_id,firm_ref,practice_area_id,ranking_tier,tier_rank,ranking_type,post_status,publication_status,listing_type,commentary,modified_ts
V0831,2024,ED2024IE,F0922,PA0359,,3,firm recommended,publish,Active,sponsored,Highly regarded team,2024-11-18 03:18:08
V0804,2025,ED2025CA,,PA0040,,1,firm recommended,publish,Researching,sponsored,Leading practice in its field,2024-11-14 04:49:53
R0476,2024,ED2024SG,F0426,PA0844,2,,firm recommended,Draft,Active,,,2025-01-06 14:12:45
V0656,2024,ED2024NL,F0836,PA0335,,TIER_3,firm recommended,publish,Researching,sponsored,,2024-12-24 22:18:34
R0176,2025,ED2025ES,F0055,PA0774,4,,firm recommended,Pending,Active,,,2024-10-29 20:50:26
R0345,2025,ED2025BE,F0507,PA0775,2,,firm to watch,Publish,Active,,,2024-08-31 11:31:22
R0393,2025,ED2025UAE,F0020,PA0009,1,,firm recommended,Pending,Researching,,Leading practice in its field,2024-09-13 06:44:33
R0290,2025,ED2025JP,F0183,PA0026,4,,firm to watch,Draft,Active,,Noted for complex transactions,2024-12-20 11:00:59
V0640,2025,ED2025UAE,F0821,PA0264,,1,firm recommended,publish,Archive,premium,Highly regarded team,2024-12-31 03:15:53
R0037,2024,ED2024DE,F0981,PA0111,4,,firm recommended,Publish,Researching,,,2024-11-06 02:10:23
V0918,2024,ED2024US,F0156,PA0302,,1,firm recommended,pending,Active,,Highly regarded team,2024-10-23 03:28:21
V0501,2024,ED2024SG,F0576,PA0566,,3,firm recommended,draft,Active,sponsored,,2024-12-12 23:27:50
R0220,2024,ED2024US,F0790,PA0556,2,,firm recommended,Draft,Active,,Leading practice in its field,2024-11-28 12:39:29
R0045,2025,ED2025US,F0190,PA0259,5,,firm recommended,Publish,Researching,,Noted for complex transactions,2024-08-22 15:45:39
V0833,2024,ED2024SG,F0563,PA0187,,3,firm to watch,publish,Researching,,,2024-09-04 02:07:03
R0035,2025,ED2025SG,F0923,PA0033,1,,firm recommended,Draft,Active,,Highly regarded team,2024-12-08 04:15:23
R0338,2025,ED2025ES,F0488,PA0572,0,,firm recommended,Draft,Active,,Highly regarded team,2025-01-07 17:43:39
R0321,2025,ED2025JP,F0036,PA0268,5,,firm recommended,Pending,Active,,,2024-10-17 07:49:18
V0767,2025,ED2025SE,F0666,PA0250,,5,firm recommended,Publish,Researching,standard,Leading practice in its field,2025-01-07 06:45:31
V0610,2025,ED2025SG,F0454,PA0154,,4,firm recommended,publish,Active,featured,Highly regarded team,2024-08-05 11:18:42
V0708,2024,ED2024JP,F0949,PA0863,,3,firm to watch,publish,Active,,,2024-10-04 05:22:45
V0972,2024,ED2024IE,F0424,PA0857,,4,firm to watch,publish,Active,premium,Noted for complex transactions,2024-11-01 01:37:44
R0292,2025,ED2025UK,F0337,PA0097,5,,firm to watch,Draft,Active,,Leading practice in its field,2024-11-26 19:46:25
R0129,2025,ED2025CA,F0479,PA0764,4,,firm recommended,Draft,Active,,Leading practice in its field,2024-09-07 11:41:52
R0164,2024,ED2024CA,F0763,PA0092,1,,firm to watch,Pending,Researching,,Highly regarded team,2024-09-23 04:34:40
V0801,2025,ED2025UAE,F0394,PA0555,,1,firm recommended,publish,Researching,,,2024-11-07 05:13:28
R0024,2024,ED2024US,F0590,PA0059,1,,firm recommended,Publish,Archive,,Highly regarded team,2025-01-04 23:10:10
R0244,2025,ED2025SG,F0589,PA0631,2,,firm recommended,Draft,Active,,Highly regarded team,2024-08-24 00:29:17
R0405,2024,ED2024IE,0,PA0510,1,,firm recommended,Pending,Active,,,2024-09-21 11:50:04
R0142,2025,ED2025BE,F0232,PA0175,1,,firm recommended,Pending,Archive,,,2025-01-06 11:31:24
V0893,2025,ED2025UAE,F0187,PA0300,,3,firm to watch,publish,Researching,,Highly regarded team,2024-12-15 07:36:30
V0744,2024,ED2024BE,F0741,PA0079,,5,firm to watch,pending,Archive,,,2024-12-26 06:23:32
R0033,2025,ED2025CA,F0914,PA0187,3,,firm recommended,Draft,Active,,Leading practice in its field,2024-12-06 10:29:05
R0198,2024,ED2024IE,F0450,PA0438,3,,firm to watch,Pending,Active,,,2024-08-25 16:45:34
V0543,2025,ED2025US,F0996,PA0366,,2,firm recommended,publish,Active,standard,Highly regarded team,2024-11-04 15:00:35
R0337,2024,ED2024FR,F0627,PA0295,3,,firm recommended,Draft,Researching,,Leading practice in its field,2024-11-23 03:52:42
R0243,2025,ED2025UAE,F0293,PA0331,2,,firm recommended,Pending,Researching,,,2024-08-09 03:25:42
R0369,2024,ED2024NL,F9165,PA0801,1,,firm recommended,Draft,Active,,,2024-09-08 03:24:38
R0425,2025,ED2025JP,F0401,PA0606,1,,firm to watch,Draft,Active,,Highly regarded team,2024-09-13 22:39:28
V0793,2024,ED2024CA,F0089,PA0403,,3,firm recommended,publish,Archive,standard,,2024-12-29 22:25:04
V0533,2024,ED2024ES,F0394,PA0769,,1,firm recommended,publish,Researching,,Leading practice in its field,2024-10-29 20:17:17
V0710,2024,ED2024JP,F0684,PA0282,,1,firm to watch,publish,Active,premium,,2024-12-22 04:52:57
R0340,2024,ED2024US,F0766,PA0543,2,,firm recommended,Pending,Active,,,2024-10-27 16:08:19
V0819,2025,ED2025ES,F0812,PA0773,,2,firm recommended,publish,Researching,sponsored,Noted for complex transactions,2024-09-02 13:01:31
R0402,2025,ED2025JP,F0897,PA0483,0,,firm to watch,Publish,Researching,,,2024-08-09 19:26:13
V0502,2024,ED2024JP,F0932,PA0456,,1,firm recommended,publish,Active,,,2024-10-31 22:28:07
R0030,2025,ED2025SE,F0914,PA0633,4,,firm recommended,Draft,Active,,Leading practice in its field,2024-11-28 12:34:43
V0873,2024,ED2024BE,F0717,PA0487,,0,firm recommended,publish,Active,sponsored,Leading practice in its field,2024-10-18 06:02:35
R0411,2024,ED2024AU,F0256,PA0232,2,,firm recommended,Pending,Archive,,Noted for complex transactions,2024-10-03 19:30:25
V0622,2025,ED2025BE,F9980,PA0802,,TIER_1,firm recommended,publish,Active,premium,Noted for complex transactions,2024-12-16 21:48:52
V0795,2025,ED2025SG,F0774,PA0609,,TIER_2,firm recommended,publish,Researching,sponsored,Leading practice in its field,2024-09-15 16:12:03
V0772,2024,ED2024ES,F0247,PA0602,,4,firm recommended,draft,Researching,sponsored,,2024-11-30 13:33:49
R0074,2025,ED2025SG,F0563,PA0510,3,,firm recommended,Publish,Active,,Highly regarded team,2024-10-14 16:29:34
V0735,2024,ED2024IE,F0378,PA0740,,3,firm recommended,publish,Researching,premium,,2024-08-21 14:06:28
R0153,2025,ED2025UK,F0750,PA0433,1,,firm recommended,Draft,Active,,Highly regarded team,2024-11-24 08:28:11
V0706,2024,ED2024SG,F0288,PA0659,,3,firm recommended,publish,Active,premium,,2024-08-19 03:39:43
V0653,2024,ED2024DE,F0741,PA0076,,2,firm recommended,publish,Active,sponsored,Highly regarded team,2024-11-21 11:35:43
R0313,2024,ED2024FR,F0134,PA0680,2,,firm to watch,Publish,Researching,,Highly regarded team,2024-09-30 01:19:08
R0235,2024,ED2024SE,F0796,PA0418,3,,firm recommended,Draft,Active,,,2025-01-02 12:57:27
R0323,2025,ED2025UAE,F0703,PA0466,0,,firm recommended,Publish,Active,,Leading practice in its field,2024-10-22 00:47:33
R0498,2024,ED2024JP,F0806,PA0067,1,,firm recommended,Publish,Active,,Leading practice in its field,2024-10-04 08:56:31
R0007,2025,ED2025DE,F0833,PA0718,0,,firm recommended,Pending,Researching,,Noted for complex transactions,2024-08-13 09:56:35
V0907,2025,ED2025ES,F0320,PA0519,,2,firm recommended,publish,Active,standard,Leading practice in its field,2024-10-03 13:27:09
R0108,2024,ED2024SG,F0616,PA0387,1,,firm recommended,Pending,Archive,,Leading practice in its field,2024-12-10 23:17:49
V0974,2025,ED2025JP,F0228,PA0702,,1,firm recommended,pending,Researching,sponsored,Leading practice in its field,2024-09-11 10:12:59
V0830,2025,ED2025FR,0,PA0025,,3,firm recommended,publish,Researching,,,2024-11-09 17:13:48
V0605,2024,ED2024UK,F0115,PA0346,,5,firm recommended,publish,Active,sponsored,Noted for complex transactions,2024-10-23 11:01:31
R0279,2025,ED2025IE,F0532,PA0620,2,,firm recommended,Pending,Archive,,,2024-12-24 00:10:24
R0057,2024,ED2024AU,F0419,PA0627,2,,firm to watch,Draft,Active,,Leading practice in its field,2025-01-07 23:48:01
R0118,2025,ED2025SG,F0530,PA0163,2,,firm recommended,Publish,Researching,,Highly regarded team,2024-11-06 22:00:29
R0069,2024,ED2024SE,F0918,PA0045,3,,firm recommended,Publish,Researching,,,2024-11-25 10:23:31
R0251,2024,ED2024FR,F0972,PA0650,3,,firm recommended,Pending,Active,,Highly regarded team,2024-09-12 18:15:03
R0491,2025,ED2025SG,F0148,PA0044,2,,firm recommended,Publish,Researching,,Leading practice in its field,2024-10-18 02:31:55
R0249,2024,ED2024IE,F0763,PA0813,1,,firm recommended,Draft,Active,,Noted for complex transactions,2024-11-07 11:04:18
V0597,2024,ED2024SE,F0580,PA0196,,2,firm recommended,publish,Active,sponsored,Noted for complex transactions,2024-11-09 12:31:30
V0799,2025,ED2025US,F0946,PA0184,,2,firm recommended,publish,Active,,,2024-10-15 19:50:38
V0872,2025,ED2025SE,F0859,PA0448,,5,firm recommended,publish,Active,premium,,2024-08-16 07:51:22
R0217,2024,ED2024FR,F0350,PA0744,4,,firm recommended,Pending,Archive,,,2024-12-30 23:14:21
R0346,2025,ED2025ES,F0782,PA0476,3,,firm recommended,Pending,Researching,,Highly regarded team,2024-10-14 10:33:23
V0577,2024,ED2024NL,F0331,PA0318,,3,firm recommended,publish,Active,,,2024-09-12 01:13:15
R0387,2025,ED2025DE,F0480,PA0234,2,,firm recommended,Pending,Researching,,,2024-09-19 14:03:12
V0910,2025,ED2025BE,F0213,PA0432,,2,firm recommended,publish,Active,premium,Leading practice in its field,2024-08-20 10:04:21
R0415,2025,ED2025SG,F0220,PA0465,3,,firm recommended,Draft,Researching,,Noted for complex transactions,2024-12-23 15:46:02
V0999,2025,ED2025UK,F0860,PA0694,,1,firm recommended,publish,Active,,,2024-11-08 02:48:27
V0678,2025,ED2025FR,F0550,PA0842,,2,firm recommended,pending,Researching,standard,,2024-08-11 15:54:47
R0189,2025,ED2025AU,F0946,PA0404,1,,firm to watch,Draft,Researching,,,2024-10-13 02:43:23
V0552,2024,ED2024JP,F0581,PA0864,,2,firm recommended,publish,Active,sponsored,Leading practice in its field,2024-08-03 09:36:12
V0649,2025,ED2025UAE,F0631,PA0857,,3,firm to watch,publish,Researching,sponsored,Leading practice in its field,2024-08-27 21:59:50
V0647,2025,ED2025BE,F0696,PA0703,,5,firm recommended,publish,Active,standard,,2024-08-08 20:25:00
R0260,2025,ED2025AU,F0420,PA0227,3,,firm recommended,Pending,Active,,Noted for complex transactions,2024-12-30 08:58:32
R0300,2025,ED2025CA,F0582,PA0857,3,,firm recommended,Publish,Archive,,,2024-08-18 02:51:52
R0109,2025,ED2025BE,F0017,PA0310,5,,firm recommended,Draft,Researching,,Highly regarded team,2024-12-14 19:03:14
R0018,2024,ED2024SG,F0802,PA0127,1,,firm recommended,Draft,Active,,Leading practice in its field,2024-11-23 08:07:58
V0826,2025,ED2025SG,F0921,PA0653,,4,firm recommended,publish,Researching,sponsored,,2024-12-03 21:16:32
R0166,2025,ED2025ES,F0855,PA0628,1,,firm recommended,Publish,Archive,,Highly regarded team,2024-09-26 00:04:52
V0618,2024,ED2024JP,F0296,PA0562,,2,firm recommended,publish,Archive,premium,Noted for complex transactions,2024-09-16 00:58:57
V0722,2024,ED2024IE,F0884,PA0830,,3,firm recommended,publish,Researching,premium,,2024-12-26 02:28:42
V0975,2025,ED2025NL,F0537,PA0783,,5,firm recommended,publish,Active,premium,Leading practice in its field,2024-10-21 16:29:46
V0743,2024,ED2024UAE,F0647,PA0696,,1,firm recommended,publish,Active,,Highly regarded team,2024-12-04 01:23:20
R0149,2024,ED2024BE,F0937,PA0134,1,,firm recommended,Pending,Active,,Highly regarded team,2024-11-29 11:38:14
R0135,2025,ED2025IE,F0921,PA0239,3,,firm recommended,Publish,Active,,Leading practice in its field,2024-11-11 09:13:14
V0573,2025,ED2025CA,F0384,PA0214,,2,firm recommended,publish,Active,,Highly regarded team,2024-12-02 08:20:16
V0627,2024,ED2024NL,F0665,PA0813,,2,firm recommended,pending,Active,standard,Highly regarded team,2024-09-14 02:13:47
R0333,2025,ED2025BE,F0989,PA0120,4,,firm recommended,Pending,Active,,,2024-11-28 12:49:03
V0924,2025,ED2025HK,F0351,PA0234,,2,firm recommended,publish,Active,,Leading practice in its field,2024-12-25 03:10:44
R0490,2024,ED2024FR,F0294,PA0653,4,,firm to watch,Publish,Active,,,2024-09-19 22:41:23
R0413,2025,ED2025HK,F0648,PA0050,4,,firm to watch,Pending,Active,,,2024-08-28 18:12:57
R0265,2024,ED2024AU,F0236,PA0647,4,,firm recommended,Publish,Researching,,Highly regarded team,2024-12-24 14:51:32
V0764,2024,ED2024DE,F0111,PA0190,,4,firm to watch,draft,Researching,premium,Highly regarded team,2024-09-27 04:09:03
R0269,2025,ED2025JP,F0386,PA0299,2,,firm recommended,Draft,Active,,Noted for complex transactions,2024-11-17 22:25:55
R0446,2025,ED2025BE,F0425,PA0570,3,,firm recommended,Pending,Active,,Noted for complex transactions,2024-09-06 03:05:35
V0948,2025,ED2025UK,F0837,PA0836,,2,firm recommended,draft,Active,,,2024-10-24 23:03:37
R0092,2025,ED2025UAE,F0100,PA0825,0,,firm recommended,Publish,Active,,Highly regarded team,2024-11-15 05:50:19
R0188,2024,ED2024US,F0672,PA0156,2,,firm recommended,Pending,Researching,,,2024-10-29 05:20:24
V0923,2024,ED2024BE,0,PA0832,,2,firm recommended,publish,Active,standard,,2024-09-01 23:12:10
V0572,2024,ED2024DE,F0069,PA0260,,2,firm recommended,publish,Researching,sponsored,Leading practice in its field,2024-12-07 11:12:35
V0617,2025,ED2025DE,F0286,PA0191,,1,firm recommended,draft,Researching,standard,Noted for complex transactions,2024-09-15 00:20:20
V0567,2025,ED2025US,F0902,PA0115,,TIER_2,firm recommended,publish,Archive,exclusive,,2024-11-20 17:51:33
V0642,2024,ED2024US,F0167,PA0639,,3,firm to watch,publish,Researching,standard,Highly regarded team,2024-12-29 11:36:12
R0103,2025,ED2025BE,F0538,PA0220,3,,firm recommended,Draft,Active,,Leading practice in its field,2024-08-18 22:48:26
R0406,2024,ED2024CA,F0911,PA0482,1,,firm to watch,Pending,Active,,Noted for complex transactions,2024-08-10 00:42:11
R0160,2025,ED2025UAE,F0856,PA0234,3,,firm recommended,Publish,Active,,Leading practice in its field,2024-12-29 12:57:26
R0128,2024,ED2024CA,F0226,PA0086,3,,firm to watch,Draft,Active,,,2024-09-23 03:22:41
V0504,2025,ED2025US,F0071,PA0182,,1,firm recommended,publish,Archive,,,2024-08-30 00:39:18
R0015,2025,ED2025JP,F0649,PA0714,3,,firm recommended,Publish,Active,,Highly regarded team,2024-10-21 11:52:50
R0102,2025,ED2025IE,F0277,PA0259,3,,firm recommended,Draft,Active,,Highly regarded team,2024-09-23 04:29:28
R0040,2025,ED2025FR,F0724,PA0802,4,,firm recommended,Pending,Researching,,,2024-09-06 15:15:40
V0814,2024,ED2024CA,F0838,PA0430,,2,firm to watch,draft,Active,standard,Leading practice in its field,2024-09-16 05:51:14
V0860,2024,ED2024HK,F0442,PA0437,,4,firm recommended,publish,Active,premium,,2024-08-26 05:47:10
R0163,2025,ED2025DE,F0877,PA0226,3,,firm recommended,Publish,Active,,Highly regarded team,2024-08-07 00:01:34
V0885,2025,ED2025UK,F0951,PA0678,,3,firm to watch,pending,Researching,standard,Leading practice in its field,2024-11-15 03:25:30
V0754,2024,ED2024ES,F0370,PA0400,,2,firm recommended,publish,Active,standard,Leading practice in its field,2024-10-15 00:12:52
V0727,2024,ED2024UAE,F9093,PA0678,,2,firm recommended,publish,Active,sponsored,Noted for complex transactions,2024-12-02 15:05:15
R0399,2024,ED2024ES,F0167,PA0775,1,,firm to watch,Draft,Active,,,2024-12-24 13:46:26
V0914,2025,ED2025CA,F0886,PA0373,,3,firm recommended,publish,Archive,standard,Leading practice in its field,2024-11-19 22:01:56
V0524,2025,ED2025DE,F0430,PA0026,,4,firm recommended,publish,Active,,Highly regarded team,2024-12-01 18:13:59
V0913,2025,ED2025SG,F0510,PA0421,,1,firm recommended,publish,Researching,sponsored,Leading practice in its field,2024-09-01 10:10:44
R0471,2025,ED2025UK,F0757,PA0521,3,,firm recommended,Pending,Active,,,2024-12-11 06:18:41
V0565,2025,ED2025JP,F0462,PA0772,,3,firm recommended,Draft,Researching,standard,,2024-10-06 16:36:37
R0051,2024,ED2024AU,F0979,PA0580,1,,firm to watch,Draft,Active,,Noted for complex transactions,2024-12-22 19:58:58
R0094,2025,ED2025AU,F0263,PA0782,4,,firm recommended,Pending,Active,,Leading practice in its field,2024-08-25 01:43:28
V0813,2025,ED2025FR,F0315,PA0091,,2,firm recommended,publish,Active,sponsored,,2025-01-08 16:53:32
R0481,2024,ED2024DE,F0781,PA0711,4,,firm recommended,Pending,Active,,Noted for complex transactions,2024-10-25 01:44:01
V0939,2025,ED2025AU,,PA0038,,4,firm to watch,publish,Active,,,2024-12-16 23:02:32
R0359,2024,ED2024HK,F0582,PA0650,2,,firm recommended,Pending,Researching,,,2024-08-30 23:44:54
V0520,2025,ED2025NL,F0925,PA0751,,1,firm recommended,publish,Researching,,Highly regarded team,2024-08-16 12:36:05
V0921,2024,ED2024UK,0,PA0603,,3,firm recommended,publish,Researching,,,2024-11-17 12:20:01
R0438,2025,ED2025IE,F0800,PA0836,1,,firm recommended,Draft,Researching,,,2024-10-04 19:26:58
R0434,2025,ED2025CA,F0835,PA0404,3,,firm recommended,Pending,Researching,,,2024-10-29 11:13:04
V0626,2025,ED2025SG,F0383,PA0025,,2,firm recommended,publish,Researching,standard,,2024-09-11 20:37:51
V0988,2024,ED2024UK,F0403,PA0295,,5,firm recommended,publish,Active,sponsored,Noted for complex transactions,2024-12-29 01:47:41
V0906,2025,ED2025AU,F0632,PA0680,,3,firm to watch,pending,Active,premium,Noted for complex transactions,2024-12-14 17:01:13
R0363,2025,ED2025DE,F0919,PA0389,0,,firm to watch,Draft,Active,,,2024-09-13 15:45:40
V0569,2025,ED2025ES,F0225,PA0591,,2,firm recommended,publish,Active,standard,,2024-09-13 22:22:23
R0486,2024,ED2024ES,F0634,PA0738,1,,firm to watch,Publish,Archive,,,2024-08-08 11:05:48
R0373,2025,ED2025FR,F0282,PA0695,3,,firm recommended,Publish,Active,,Leading practice in its field,2024-08-22 15:29:17
R0295,2024,ED2024HK,F0892,PA0135,1,,firm to watch,Draft,Researching,,,2024-08-11 21:12:09
R0002,2025,ED2025ES,F9101,PA0445,5,,firm recommended,Publish,Active,,Highly regarded team,2024-09-17 13:47:14
R0179,2025,ED2025HK,F0140,PA0229,5,,firm recommended,Pending,Active,,,2024-09-28 10:15:33
V0618,2024,ED2024JP,F0296,PA0562,,2,firm recommended,publish,Archive,premium,Noted for complex transactions,2024-09-15 20:58:57
V0535,2024,ED2024FR,F0336,PA0365,,4,firm recommended,Draft,Active,premium,Leading practice in its field,2024-12-31 04:14:00
V0525,2024,ED2024IE,F0155,PA0608,,5,firm recommended,publish,Active,standard,,2024-10-16 07:33:04
V0686,2024,ED2024JP,F0482,PA0224,,3,firm recommended,publish,Active,premium,Leading practice in its field,2024-10-19 05:00:02
R0454,2025,ED2025IE,F0884,PA0007,5,,firm recommended,Publish,Researching,,,2024-11-23 01:42:16
V0959,2024,ED2024US,F0288,PA0095,,3,firm recommended,publish,Active,premium,Noted for complex transactions,2024-10-24 14:42:25
R0174,2025,ED2025ES,F0480,PA0363,2,,firm recommended,Publish,Archive,,,2024-10-29 13:44:21
V0716,2025,ED2025FR,F0303,PA0385,,4,firm recommended,publish,Researching,standard,,2024-11-21 21:31:55
R0241,2024,ED2024SE,F0156,PA0008,3,,firm recommended,Draft,Active,,Noted for complex transactions,2024-10-13 16:00:49
V0778,2025,ED2025UK,F0907,PA0144,,3,firm recommended,Publish,Active,,,2024-12-09 08:55:12
R0361,2025,ED2025AU,F0739,PA0521,4,,firm to watch,Pending,Archive,,Leading practice in its field,2024-11-01 14:51:41
V0631,2025,ED2025DE,F0062,PA0026,,3,firm recommended,publish,Active,sponsored,Noted for complex transactions,2024-08-05 16:29:59
V0886,2024,ED2024ES,F0165,PA0777,,1,firm to watch,publish,Archive,sponsored,Noted for complex transactions,2024-11-10 08:26:45
R0131,2025,ED2025SG,F0836,PA0327,3,,firm recommended,Pending,Active,,,2024-09-08 18:45:58
V0997,2025,ED2025DE,0,PA0293,,1,firm recommended,publish,Active,premium,Noted for complex transactions,2024-11-22 00:50:34
R0253,2025,ED2025UK,F0069,PA0503,3,,firm recommended,Draft,Researching,,Noted for complex transactions,2024-08-08 12:52:49
R0497,2024,ED2024NL,F0889,PA0757,1,,firm to watch,Pending,Active,,,2024-11-27 12:28:28
V0815,2024,ED2024UK,F0983,PA0636,,2,firm to watch,pending,Researching,standard,,2024-09-25 01:06:25
V0622,2025,ED2025BE,F9980,PA0802,,TIER_1,firm recommended,publish,Active,premium,Noted for complex transactions,2024-12-17 01:48:52
V0935,2025,ED2025AU,F0438,PA0055,,4,firm recommended,publish,Researching,sponsored,,2024-12-12 16:20:06
V0668,2025,ED2025DE,F0688,PA0264,,2,firm to watch,publish,Active,premium,Leading practice in its field,2024-12-20 14:08:24
V0739,2024,ED2024ES,F0791,PA0232,,4,firm recommended,pending,Active,premium,,2025-01-09 06:01:02
V0678,2025,ED2025FR,F0550,PA0842,,2,firm recommended,pending,Researching,standard,,2024-08-12 03:54:47
V0531,2025,ED2025JP,F0806,PA0288,,TIER_5,firm recommended,publish,Active,sponsored,Leading practice in its field,2024-12-14 14:27:05
R0158,2025,ED2025CA,F0146,PA0014,3,,firm recommended,Draft,Researching,,,2024-09-04 11:16:48
R0360,2025,ED2025DE,F0880,PA0394,2,,firm recommended,Draft,Active,,,2024-11-22 06:03:01
R0355,2024,ED2024SG,F0107,PA0150,4,,firm recommended,Publish,Active,,Leading practice in its field,2024-12-19 04:44:12
V0970,2024,ED2024AU,F0899,PA0517,,3,firm recommended,publish,Researching,sponsored,,2024-12-14 18:10:02
R0388,2024,ED2024DE,F0658,PA0421,2,,firm to watch,Pending,Active,,Noted for complex transactions,2025-01-09 11:53:01
R0203,2024,ED2024SE,F0355,PA0073,5,,firm recommended,Draft,Archive,,Leading practice in its field,2024-11-16 01:49:40
V0760,2024,ED2024UAE,F0823,PA0297,,2,firm recommended,Publish,Archive,standard,Noted for complex transactions,2024-12-17 18:31:23
R0204,2024,ED2024HK,F0107,PA0037,3,,firm recommended,Draft,Active,,,2024-10-23 19:00:29
V0901,2024,ED2024ES,F0411,PA0341,,4,firm recommended,pending,Active,premium,Leading practice in its field,2024-10-09 23:11:42
R0169,2024,ED2024JP,F0052,PA0258,1,,firm to watch,Pending,Active,,,2024-08-17 16:48:18
V0507,2024,ED2024SE,F0054,PA0665,,2,firm recommended,publish,Active,exclusive,Highly regarded team,2024-10-24 01:41:30
R0089,2024,ED2024UAE,F0298,PA0166,1,,firm recommended,Publish,Researching,,,2024-12-18 12:16:44
V0643,2025,ED2025SG,F0158,PA0425,,2,firm recommended,publish,Active,sponsored,Highly regarded team,2024-08-23 22:58:29
V0719,2024,ED2024ES,F0266,PA0268,,2,firm recommended,publish,Researching,premium,,2024-08-09 13:08:28
R0408,2025,ED2025NL,F0877,PA0550,2,,firm to watch,Draft,Active,,Leading practice in its field,2024-09-30 11:22:23
R0223,2025,ED2025AU,F0977,PA0066,2,,firm recommended,Draft,Active,,,2024-09-20 09:32:52
R0127,2024,ED2024FR,F0549,PA0024,3,,firm recommended,Publish,Researching,,,2024-10-10 20:30:49
V0588,2025,ED2025BE,,PA0219,,1,firm recommended,publish,Active,,Noted for complex transactions,2024-09-11 13:52:59
R0233,2025,ED2025FR,F0323,PA0767,5,,firm recommended,Draft,Active,,Leading practice in its field,2024-12-21 07:05:15
V0781,2024,ED2024FR,F0960,PA0136,,5,firm recommended,publish,Archive,premium,,2024-09-09 08:16:15
V0619,2024,ED2024HK,F0069,PA0792,,1,firm to watch,publish,Active,premium,Leading practice in its field,2024-11-12 16:24:10
R0028,2024,ED2024CA,F0347,PA0696,2,,firm recommended,Draft,Active,,Leading practice in its field,2024-09-26 07:47:58
R0436,2025,ED2025HK,F0870,PA0260,2,,firm recommended,Draft,Active,,,2024-09-18 07:01:51
R0123,2024,ED2024NL,F0110,PA0146,2,,firm to watch,Draft,Researching,,,2024-08-16 00:37:24
V0762,2025,ED2025BE,F0092,PA0535,,2,firm recommended,publish,Archive,sponsored,,2024-11-21 11:38:18
R0475,2025,ED2025JP,F0904,PA0433,3,,firm recommended,Pending,Researching,,Leading practice in its field,2024-09-09 18:47:33
R0328,2024,ED2024IE,F0556,PA0274,1,,firm recommended,Draft,Active,,,2024-10-26 18:05:59
R0191,2024,ED2024UK,F0873,PA0751,1,,firm recommended,Pending,Active,,,2024-11-05 23:31:50
V0822,2024,ED2024UK,F0955,PA0007,,5,firm recommended,publish,Active,sponsored,,2024-10-12 07:59:33
R0068,2024,ED2024NL,F0113,PA0230,1,,firm to watch,Pending,Active,,Leading practice in its field,2024-08-15 19:32:12
R0132,2024,ED2024NL,F9172,PA0035,5,,firm recommended,Pending,Researching,,Noted for complex transactions,2024-09-26 23:41:09
R0183,2024,ED2024JP,F0190,PA0146,4,,firm recommended,Pending,Researching,,,2024-11-08 07:49:57
R0496,2024,ED2024SG,F0280,PA0764,3,,firm recommended,Publish,Active,,Leading practice in its field,2024-11-20 16:00:59
R0156,2024,ED2024NL,F0176,PA0805,1,,firm recommended,Publish,Active,,Noted for complex transactions,2024-12-21 12:08:21
V0689,2024,ED2024UK,F0416,PA0605,,1,firm recommended,publish,Researching,premium,,2024-11-20 23:13:31
V0633,2024,ED2024UK,F0992,PA0158,,5,firm recommended,publish,Active,,,2024-12-21 07:48:11
R0047,2024,ED2024SG,F0909,PA0109,1,,firm recommended,Pending,Archive,,,2024-08-08 23:15:19
V0675,2024,ED2024FR,F0038,PA0464,,1,firm recommended,pending,Researching,standard,Highly regarded team,2024-12-08 01:10:06
V0532,2024,ED2024IE,F0726,PA0608,,3,firm to watch,publish,Researching,premium,Leading practice in its field,2024-11-03 20:59:05
V0665,2024,ED2024SG,F0514,PA0751,,4,firm recommended,publish,Active,sponsored,Noted for complex transactions,2024-12-28 07:20:15
R0334,2024,ED2024HK,F0384,PA0588,2,,firm recommended,Pending,Researching,,,2024-09-23 08:35:56
V0802,2024,ED2024CA,F0506,PA0768,,1,firm recommended,publish,Active,sponsored,,2024-12-11 08:18:45
V0721,2025,ED2025HK,F0472,PA0169,,3,firm to watch,publish,Active,sponsored,,2024-08-06 19:37:27
R0065,2025,ED2025IE,F0836,PA0168,2,,firm recommended,Pending,Researching,,Noted for complex transactions,2024-08-11 20:23:55
V0550,2025,ED2025JP,F0463,PA0030,,2,firm to watch,Draft,Active,,,2024-09-09 17:27:31
R0450,2024,ED2024BE,F0477,PA0276,3,,firm recommended,Pending,Active,,,2024-11-05 12:48:26
R0157,2025,ED2025SE,F0757,PA0313,4,,firm recommended,Pending,Active,,,2024-10-01 04:31:50
R0366,2024,ED2024BE,F0994,PA0818,1,,firm recommended,Draft,Researching,,,2024-09-17 12:20:54
V0645,2025,ED2025UAE,F0608,PA0386,,4,firm recommended,publish,Active,standard,Highly regarded team,2025-01-02 14:32:03
R0048,2025,ED2025FR,0,PA0102,1,,firm recommended,Pending,Active,,,2024-09-28 12:58:54
V0763,2025,ED2025DE,F0579,PA0106,,2,firm recommended,publish,Archive,sponsored,,2024-11-19 13:58:34
